row,entity,label
0,Hello,PERSON_NAME
0,Xiao,PERSON_NAME
0,Li,PERSON_NAME
0,Financial,PERSON_NAME
0,Investment,PERSON_NAME
0,Consulting,PERSON_NAME
0,Center,PERSON_NAME
0,We,PERSON_NAME
0,Great,PERSON_NAME
0,This,PERSON_NAME
0,We,PERSON_NAME
0,24,MONEY_AMOUNT
0,It,PERSON_NAME
0,You,PERSON_NAME
0,Absolutely,PERSON_NAME
0,Great,PERSON_NAME
0,APP,ORG
0,By,PERSON_NAME
0,first,ORDINAL
0,If,PERSON_NAME
0,My,PERSON_NAME
0,WeChat,PERSON_NAME
0,Mr.,PERSON_NAME
0,Xiao,PERSON_NAME
0,Li,PERSON_NAME
0,Add,PERSON_NAME
0,WeChat,PERSON_NAME
1,Hello,PERSON_NAME
1,I’m,PERSON
1,Xiao,PERSON_NAME
1,Li,PERSON_NAME
1,Channel,PERSON_NAME
1,Department,PERSON_NAME
1,Bank,PERSON_NAME
1,China,PERSON_NAME
1,We,PERSON_NAME
1,2,MONEY_AMOUNT
1,Are,PERSON_NAME
1,It,PERSON_NAME
1,You,PERSON_NAME
1,No,PERSON_NAME
1,Bank,BANK_NAME
1,China,PERSON_NAME
1,You,PERSON_NAME
1,You,PERSON_NAME
1,We,PERSON_NAME
1,You,PERSON_NAME
1,If,PERSON_NAME
1,My,PERSON_NAME
1,1370000000,ACCOUNT_NUMBER
1,Good,PERSON_NAME
2,Hello,PERSON_NAME
2,Xiao,PERSON_NAME
2,Li,PERSON_NAME
2,One,PERSON_NAME
2,We,PERSON_NAME
2,Could,PERSON_NAME
2,You,PERSON_NAME
2,In,PERSON_NAME
2,Okay,PERSON_NAME
2,In,PERSON_NAME
2,The,PERSON_NAME
2,If,PERSON_NAME
3,Hello,PERSON_NAME
3,Manager,PERSON_NAME
3,Zhang,PERSON_NAME
3,Rural,PERSON_NAME
3,Commercial,PERSON_NAME
3,Bank,BANK_NAME
3,According,PERSON_NAME
3,Huarui,PERSON_NAME
3,Precision,PERSON_NAME
3,Mold,PERSON_NAME
3,Factory,PERSON_NAME
3,"680,000",MONEY_AMOUNT
3,Do,PERSON_NAME
3,Interest,PERSON_NAME
3,three to five years,DATE
3,Think,PERSON_NAME
3,Okay,PERSON_NAME
3,WeChat,PERSON_NAME
3,If,PERSON_NAME
3,My,PERSON_NAME
3,WeChat,PERSON_NAME
3,Manager,PERSON_NAME
3,Zhang,PERSON_NAME
3,Rural,PERSON_NAME
3,Commercial,PERSON_NAME
3,Bank,BANK_NAME
3,Please,PERSON_NAME
3,The,PERSON_NAME
3,1687,MONEY_AMOUNT
4,Hello,PERSON_NAME
4,Zhang,PERSON_NAME
4,Hua,PERSON_NAME
4,JD,GPE
4,Finance,BANK_NAME
4,We,PERSON_NAME
4,Now,PERSON_NAME
4,Are,PERSON_NAME
4,Oh,PERSON_NAME
4,But,PERSON_NAME
4,Our,PERSON_NAME
4,Even,PERSON_NAME
4,You,PERSON_NAME
4,APP,ORG
4,It,PERSON_NAME
4,You,PERSON_NAME
4,APP,ORG
4,We,PERSON_NAME
4,Pay,PERSON_NAME
4,APP,ORG
4,If,PERSON_NAME
5,Hello,PERSON_NAME
5,Agricultural,PERSON_NAME
5,Bank,PERSON_NAME
5,China,PERSON_NAME
5,Recently,PERSON_NAME
5,Do,PERSON_NAME
5,We,PERSON_NAME
5,You,PERSON_NAME
5,Of,PERSON_NAME
5,APP,ORG
5,In,PERSON_NAME
5,Please,PERSON_NAME
5,After,PERSON_NAME
6,Hello,PERSON_NAME
6,Shenzhen,PERSON_NAME
6,Telecom,PERSON_NAME
6,Customer,PERSON_NAME
6,Service,PERSON_NAME
6,Center,PERSON_NAME
6,Li,PERSON_NAME
6,Ming,PERSON_NAME
6,We,PERSON_NAME
6,Do,PERSON_NAME
6,In,PERSON_NAME
6,You,PERSON_NAME
6,Please,PERSON_NAME
6,If,PERSON_NAME
7,Hello,PERSON_NAME
7,Li,PERSON_NAME
7,Hua,PERSON_NAME
7,Yunnan,PERSON_NAME
7,Branch,PERSON_NAME
7,Rural,PERSON_NAME
7,Commercial,PERSON_NAME
7,Bank,BANK_NAME
7,Here,PERSON_NAME
7,Are,PERSON_NAME
7,Of,PERSON_NAME
7,The,PERSON_NAME
7,In,PERSON_NAME
7,first,ORDINAL
7,You,PERSON_NAME
7,You,PERSON_NAME
7,Rural,PERSON_NAME
7,Commercial,PERSON_NAME
7,Bank,PERSON_NAME
7,Financial,PERSON_NAME
7,Management,PERSON_NAME
7,After,PERSON_NAME
7,123456,MONEY_AMOUNT
7,If,PERSON_NAME
7,Great,PERSON_NAME
7,If,PERSON_NAME
7,0871,MONEY_AMOUNT
7,12345678,MONEY_AMOUNT
7,You,PERSON_NAME
8,Hello,PERSON_NAME
8,Mr.,PERSON_NAME
8,Wang,PERSON_NAME
8,Manager,PERSON_NAME
8,Li,PERSON_NAME
8,Credit,PERSON_NAME
8,Department,PERSON_NAME
8,China,PERSON_NAME
8,Construction,PERSON_NAME
8,Bank,BANK_NAME
8,We,PERSON_NAME
8,Well,PERSON_NAME
8,However,PERSON_NAME
8,If,PERSON_NAME
8,This,PERSON_NAME
8,You,PERSON_NAME
8,Well,PERSON_NAME
8,first,ORDINAL
8,Our,PERSON_NAME
8,You,PERSON_NAME
8,This,PERSON_NAME
9,Hello,PERSON_NAME
9,Tianhe,PERSON_NAME
9,Oriental,PERSON_NAME
9,Bank,BANK_NAME
9,Xiao,PERSON_NAME
9,Li,PERSON_NAME
9,We,PERSON_NAME
9,Now,PERSON_NAME
9,Well,PERSON_NAME
9,"500,000",MONEY_AMOUNT
9,3,MONEY_AMOUNT
9,It,PERSON_NAME
9,Of,PERSON_NAME
9,You,PERSON_NAME
9,first,ORDINAL
10,Hello,PERSON_NAME
10,Mr.,PERSON_NAME
10,Zhang,PERSON_NAME
10,Hey,PERSON_NAME
10,Xiao,PERSON_NAME
10,Liu,PERSON_NAME
10,Tianan,PERSON_NAME
10,Financial,PERSON_NAME
10,Center,PERSON_NAME
10,We,PERSON_NAME
10,This,PERSON_NAME
10,15,MONEY_AMOUNT
10,Yes,PERSON_NAME
10,Do,PERSON_NAME
10,That,PERSON_NAME
10,Otherwise,PERSON_NAME
10,WeChat,PERSON_NAME
10,When,PERSON_NAME
10,If,PERSON_NAME
10,Oops,PERSON_NAME
10,Please,PERSON_NAME
10,WeChat,PERSON_NAME
10,My,PERSON_NAME
10,Xiao,PERSON_NAME
10,Liu,PERSON_NAME
10,You,PERSON_NAME
10,If,PERSON_NAME
10,Let,PERSON_NAME
10,WeChat,PERSON_NAME
11,Hello,PERSON_NAME
11,Xiao,PERSON_NAME
11,Liu,PERSON_NAME
11,We,PERSON_NAME
11,Well,PERSON_NAME
11,You,PERSON_NAME
11,This,PERSON_NAME
11,Okay,PERSON_NAME
11,Please,PERSON_NAME
11,If,PERSON_NAME
12,Hello,PERSON_NAME
12,AliExpress,PERSON_NAME
12,Your,PERSON_NAME
12,Li,PERSON_NAME
12,Ming,PERSON_NAME
12,There,PERSON_NAME
12,first,ORDINAL
12,The,PERSON_NAME
12,Also,PERSON_NAME
12,You,PERSON_NAME
13,Hello,PERSON_NAME
13,Mr.,PERSON_NAME
13,Li,PERSON_NAME
13,Oh,PERSON_NAME
13,Hua,PERSON_NAME
13,Xia,PERSON_NAME
13,Bank,BANK_NAME
13,We,PERSON_NAME
13,No,PERSON_NAME
13,Mr.,PERSON_NAME
13,Li,PERSON_NAME
13,You,PERSON_NAME
13,And,PERSON_NAME
13,Very,PERSON_NAME
13,You,PERSON_NAME
13,If,PERSON_NAME
13,Okay,PERSON_NAME
13,Please,PERSON_NAME
13,Contact,PERSON_NAME
13,You,PERSON_NAME
13,If,PERSON_NAME
13,Have,PERSON_NAME
14,Hello,PERSON_NAME
14,Mr.,PERSON_NAME
14,Li,PERSON_NAME
14,Jinan,PERSON_NAME
14,Investment,PERSON_NAME
14,We,PERSON_NAME
14,Are,PERSON_NAME
14,Well,PERSON_NAME
14,However,PERSON_NAME
14,You,PERSON_NAME
14,WeChat,PERSON_NAME
14,first,ORDINAL
14,If,PERSON_NAME
14,If,PERSON_NAME
14,Yes,PERSON_NAME
14,My,PERSON_NAME
14,WeChat,PERSON_NAME
14,JinanInvest,PERSON_NAME
14,Please,PERSON_NAME
14,Great,PERSON_NAME
14,By,PERSON_NAME
14,WeChat,PERSON_NAME
14,You,PERSON_NAME
14,Looking,PERSON_NAME
15,Hello,PERSON_NAME
15,Yunnan,PERSON_NAME
15,Store,PERSON_NAME
15,Rural,PERSON_NAME
15,Commercial,PERSON_NAME
15,Bank,PERSON_NAME
15,We,PERSON_NAME
15,Are,PERSON_NAME
15,Hello,PERSON_NAME
15,Zhang,PERSON_NAME
15,Wei,PERSON_NAME
15,the same day,DATE
15,In,PERSON_NAME
15,first,ORDINAL
15,APP,ORG
15,Absolutely,PERSON_NAME
15,Zhang,PERSON_NAME
15,Wei,PERSON_NAME
15,You,PERSON_NAME
15,Rural,PERSON_NAME
15,Commercial,PERSON_NAME
15,Bank,PERSON_NAME
15,Loan,PERSON_NAME
15,After,PERSON_NAME
15,the ‘,ORG
15,Quick,PERSON_NAME
15,Loan,PERSON_NAME
15,Great,PERSON_NAME
15,My,PERSON_NAME
15,0871,MONEY_AMOUNT
15,1234567,MONEY_AMOUNT
15,You,PERSON_NAME
15,If,PERSON_NAME
16,Hello,PERSON_NAME
16,Mr.,PERSON_NAME
16,Zhang,PERSON_NAME
16,Manager,PERSON_NAME
16,Li,PERSON_NAME
16,Huaxing,PERSON_NAME
16,Investment,PERSON_NAME
16,We,PERSON_NAME
16,Of,PERSON_NAME
16,In,PERSON_NAME
16,It,PERSON_NAME
16,Our,PERSON_NAME
16,You,PERSON_NAME
16,You,PERSON_NAME
17,Hello,PERSON_NAME
17,Xiao,PERSON_NAME
17,Li,PERSON_NAME
17,Credit,PERSON_NAME
17,Center,PERSON_NAME
17,Agricultural,PERSON_NAME
17,Bank,BANK_NAME
17,China,PERSON_NAME
17,We,PERSON_NAME
17,"200,000",MONEY_AMOUNT
17,Of,PERSON_NAME
17,No,PERSON_NAME
17,the same day,DATE
17,If,PERSON_NAME
17,WeChat,PERSON_NAME
17,What,PERSON_NAME
17,After,PERSON_NAME
17,WeChat,PERSON_NAME
17,You,PERSON_NAME
17,first,ORDINAL
17,If,PERSON_NAME
17,My,PERSON_NAME
17,WeChat,PERSON_NAME
17,Baoliu,PERSON_NAME
17,Yaoyao,PERSON_NAME
17,Please,PERSON_NAME
17,Great,PERSON_NAME
17,After,PERSON_NAME
18,Hello,PERSON_NAME
18,Manager,PERSON_NAME
18,Wang,PERSON_NAME
18,Rural,PERSON_NAME
18,Commercial,PERSON_NAME
18,Bank,BANK_NAME
18,Okay,PERSON_NAME
18,You,PERSON_NAME
18,If,PERSON_NAME
18,The,PERSON_NAME
18,5558888,MONEY_AMOUNT
18,In,PERSON_NAME
18,Our,PERSON_NAME
18,Rural,PERSON_NAME
18,Business,PERSON_NAME
18,Quick,PERSON_NAME
18,Loan,PERSON_NAME
18,You,PERSON_NAME
18,If,PERSON_NAME
18,You,PERSON_NAME
18,Have,PERSON_NAME
19,Hello,PERSON_NAME
19,Li,PERSON_NAME
19,Hua,PERSON_NAME
19,JD.com,ORG
19,The,PERSON_NAME
